FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202201","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","23.17","38.26","-32.64","-47.73","9591.23","0.65","0.32","-1.44","-1.44","21.89","30.73","6.82","5.51","4.69","0.84","1.19","74","2328.95","3183.72","1534.49","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202202","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","13.24","34.85","-20.16","-41.77","9494.51","0.65","0.32","-0.62","-2.05","20.14","29.35","6.31","5.28","4.72","0.84","1.12","73.30","2323.88","3193.90","1528.98","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202203","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","16.7","38.48","-26.55","-48.33","9459.06","0.65","0.32","0.22","-1.84","19.56","29.15","6.14","5.25","4.72","0.84","1.11","73.10","2325.46","3189.52","1557.65","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202204","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","0","27.39","24.07","-3.32","9397.36","0.65","0.32","-0.38","-2.21","17.88","27.47","5.64","4.97","4.73","0.84","1.05","72.80","2278.13","3021.68","1454.73","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202205","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","26.83","31.99","-8.42","-13.58","9224.01","0.65","0.32","-1.86","-4.03","16.35","24.05","5.18","4.40","4.83","0.96","0.86","72.10","2212.41","3075.05","1488.69","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202206","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","19.08","38.34","14.55","-4.71","9184.02","0.65","0.32","-0.26","-4.28","14.39","24.10","4.58","4.41","4.83","0.96","0.84","71.60","2193.98","3092.09","1425.69","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202207","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","-2.89","38.78","17.58","-24.09","9304.71","0.65","0.32","1.78","-2.57","15.84","24.97","5.02","4.56","4.86","0.96","0.92","71.90","2234.78","3086.24","1430.72","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202208","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","21.4","37.69","-32.29","-48.58","9155.12","0.65","0.32","-1.14","-3.68","14.41","23.11","4.59","4.25","4.91","1.08","0.80","72.80","2185.46","2905.57","1413.42","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202209","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","21.55","26.73","-20.8","-25.98","8914.60","0.65","0.32","-2.32","-5.92","11.10","19.84","3.57","3.69","5.05","1.08","0.58","72","2087.34","2900.09","1390.99","512267592","11/27/2022 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202210","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","1.19","34.07","-12.31","-45.19","8980.26","0.65","0.32","1.21","-4.78","11.17","20.41","3.59","3.78","5.07","1.08","0.63","72.10","2154.30","2961.04","1452.69","512267592","11/27/2022 12:00:00 AM"
