"   ","FUND_ID","FUND_NAME","FUND_CLASSIFICATION","CONTROLLING_CORPORATION","MANAGING_CORPORATION","REPORT_PERIOD","INCEPTION_DATE","TARGET_POPULATION","SPECIALIZATION","SUB_SPECIALIZATION","DEPOSITS","WITHDRAWLS","INTERNAL_TRANSFERS","NET_MONTHLY_DEPOSITS","TOTAL_ASSETS","AVG_ANNUAL_MANAGEMENT_FEE","AVG_DEPOSIT_FEE","MONTHLY_YIELD","YEAR_TO_DATE_YIELD","YIELD_TRAILING_3_YRS","YIELD_TRAILING_5_YRS","AVG_ANNUAL_YIELD_TRAILING_3YRS","AVG_ANNUAL_YIELD_TRAILING_5YRS","STANDARD_DEVIATION","ALPHA","SHARPE_RATIO","LIQUID_ASSETS_PERCENT","STOCK_MARKET_EXPOSURE","FOREIGN_EXPOSURE","FOREIGN_CURRENCY_EXPOSURE","MANAGING_CORPORATION_LEGAL_ID","CURRENT_DATE"
"1","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201201","01/01/1970","כלל האוכלוסיה","כללי","כללי","2.22","15.76","-18.37","-31.91","2462.68","1.28","","2.47","2.47","36.45","25.47","10.92","4.64","7.91","0.96","0.33","80.3","719.73","585.68","344.97","513026484","10/07/2018 08:28:19"
"2","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201202","01/01/1970","כלל האוכלוסיה","כללי","כללי","3.67","15.76","-9.37","-21.46","2446.92","1.28","","0.04","2.51","35.34","24.15","10.61","4.42","7.91","0.84","0.31","80.9","679.89","663.04","480.7","513026484","10/07/2018 08:28:19"
"3","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201203","01/01/1970","כלל האוכלוסיה","כללי","כללי","3.90","13.86","-8.71","-18.67","2447.84","1.28","","0.91","3.44","33.19","24.52","10.02","4.48","7.91","0.6","0.33","80","678.15","761.22","584.21","513026484","10/07/2018 08:28:19"
"4","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201204","01/01/1970","כלל האוכלוסיה","כללי","כללי","3.94","13.78","-8.05","-17.89","2455.58","1.28","","1.16","4.64","28.98","22.15","8.85","4.08","7.82","0.48","0.34","80.3","773.75","599.84","422.56","513026484","10/07/2018 08:28:19"
"5","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201205","01/01/1970","כלל האוכלוסיה","כללי","כללי","3.24","19.13","-11.79","-27.68","2374.37","1.28","","-2.08","2.47","23.4","16.85","7.26","3.16","7.84","0.48","0.19","79.7","686.35","609.81","438.23","513026484","10/07/2018 08:28:19"
"6","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201206","01/01/1970","כלל האוכלוסיה","כללי","כללי","3.33","12.95","-17.87","-27.49","2334.15","1.28","","-0.44","2.02","20.12","15.86","6.3","2.99","7.85","0.24","0.16","79.8","679.09","605.08","365.29","513026484","10/07/2018 08:28:19"
"7","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201207","01/01/1970","כלל האוכלוסיה","כללי","כללי","4.20","13.80","-22.51","-32.11","2359.31","1.28","","2.57","4.64","20.01","18.81","6.27","3.51","7.91","0.24","0.27","79.5","666.53","676.31","315.55","513026484","10/07/2018 08:28:19"
"8","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201208","01/01/1970","כלל האוכלוסיה","כללי","כללי","3.78","12.86","-24.68","-33.76","2326.69","1.28","","0.15","4.8","17.75","22.56","5.6","4.15","7.78","0.48","0.32","78.8","573.77","784.21","446.04","513026484","10/07/2018 08:28:19"
"9","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201209","01/01/1970","כלל האוכלוסיה","כללי","כללי","3.79","12.65","-13.23","-22.09","2336.89","1.28","","1.5","6.37","18.85","22.61","5.93","4.16","7.78","0.48","0.36","78.2","761.14","914.89","443.56","513026484","10/07/2018 08:28:19"
"10","102","אקסלנס גמל פלטינום","תגמולים ואישית לפיצויים","קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ","201210","01/01/1970","כלל האוכלוסיה","כללי","כללי","3.39","11.85","-10.22","-18.68","2345.05","1.28","","1.26","7.71","18.69","20.8","5.88","3.85","7.71","0.48","0.37","77.8","754.89","725.53","369.57","513026484","10/07/2018 08:28:19"
