FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201901,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,10.14,73.92,-14.51,-78.29,10795.67,0.68,0.76,1.99,1.99,12.7,20.69,4.07,3.83,3.53,0.96,0.93,76.2,2785.02,3387.8,2226.89,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201902,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,9.74,43.02,-32.84,-66.12,10811.75,0.68,0.76,0.83,2.84,14.02,19.67,4.47,3.66,3.49,0.84,0.95,75.8,2701.36,3321.37,2187.74,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201903,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,2.94,34.96,-29.54,-61.56,10816.03,0.68,0.76,0.71,3.57,13.06,19.11,4.18,3.56,3.47,0.72,0.98,75.7,2738.62,3307.3,2202.75,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201904,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,9.66,50.17,-46.97,-87.48,10834.76,0.68,0.76,1.04,4.64,13.21,20.06,4.22,3.72,3.48,0.72,1.06,75.9,2690.75,3257.37,2204.34,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201905,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,7.5,54.77,-45.52,-92.79,10677.97,0.68,0.76,-0.57,4.05,12.34,18.22,3.95,3.4,3.49,0.72,0.95,75.7,2639.56,3190.19,2027.38,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201906,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,8.68,40.04,-44.75,-76.11,10744.58,0.68,0.76,1.45,5.56,14.19,20.05,4.52,3.72,3.53,0.6,1.08,76.5,2672.01,3224.64,2065.72,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201907,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,6.33,53.17,-62.06,-108.9,10688.77,0.68,0.76,0.5,6.08,12.67,20.74,4.06,3.84,3.52,0.72,1.12,76.2,2646.98,3200.51,2036.64,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201908,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,11.98,42.72,-16.04,-46.78,10645.33,0.68,0.76,0.1,6.19,12.37,18.7,3.96,3.49,3.46,0.72,1.07,76.1,2608.81,3181.58,2015.6,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201909,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,6.99,43.9,-40.23,-77.14,10626.17,0.68,0.76,0.59,6.82,13.66,19.36,4.36,3.6,3.46,0.72,1.12,76.1,2691.93,3227.21,1666.19,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201910,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,13.04,28.97,-91.28,-107.21,10630.92,0.68,0.76,1.14,8.03,14.83,20.93,4.72,3.87,3.47,0.84,1.22,75.9,2746.99,3274.78,1645.82,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201911,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,7.14,37.81,-48.86,-79.53,10620.87,0.68,0.76,0.73,8.82,15.67,20.28,4.97,3.76,3.45,0.72,1.25,75.9,2796.78,3267.64,1655.46,512267592,03/05/2020
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201912,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,31.25,41.49,-79.64,-89.88,10569.36,0.68,0.76,0.46,9.32,15.32,22.37,4.87,4.12,3.38,0.96,1.34,76.3,2694.39,3133.68,1652.37,512267592,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201901,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,18.7,15.71,3.34,6.33,6869.96,0.6,0.51,2.65,2.65,14.17,21.96,4.52,4.05,3.91,0.96,0.86,77.8,2346.94,2231.95,1521.81,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201902,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,17.62,21.03,20.45,17.04,6960.12,0.6,0.51,1.12,3.8,16.01,21.1,5.07,3.9,3.87,0.96,0.9,78.1,2497.98,2321.96,1499.62,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201903,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,17.99,18.32,12.31,11.98,7005.47,0.6,0.51,0.53,4.35,15.55,20.32,4.94,3.77,3.85,0.84,0.91,77.9,2486.19,2255.77,1504.49,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201904,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,14.24,22.85,-9.05,-17.66,7096.77,0.6,0.51,1.61,6.03,16.36,21.97,5.18,4.05,3.9,0.84,1.02,78,2684.27,2410.89,1504.53,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201905,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,16.86,20.82,-6.01,-9.97,7006.54,0.6,0.51,-1.08,4.88,14.57,19.19,4.64,3.57,3.92,0.72,0.86,77.7,2455.13,2287.37,1350.73,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201906,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,10.99,18.37,-0.83,-8.21,7118.01,0.6,0.51,1.76,6.73,17.12,21.49,5.41,3.97,3.97,0.72,0.99,77.9,2479.65,2243.02,1422.12,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201907,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,11.62,19.25,5.56,-2.07,7154.03,0.6,0.51,0.59,7.36,15.53,22.67,4.93,4.17,3.96,0.84,1.04,78.1,2509.36,2385.03,1305.02,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201908,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,12.41,21.42,-22.65,-31.66,7096.14,0.6,0.51,-0.32,7.02,14.56,20.03,4.64,3.72,3.91,0.84,0.96,78.1,2591.89,2546.36,1320.68,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201909,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,9.7,16.25,-25.6,-32.15,7156.79,0.6,0.51,1.36,8.47,16.61,21,5.26,3.89,3.94,0.96,1.04,78.4,2656.6,2600.92,1386.07,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201910,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,7.46,16.63,-17.98,-27.15,7205.04,0.6,0.51,1.11,9.68,17.73,22.29,5.59,4.11,3.95,0.96,1.12,78,2715.56,2659.01,1488.79,512065202,03/05/2020
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201911,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,11.51,13.46,-64.7,-66.65,7196.64,0.6,0.51,0.86,10.62,18.24,21.79,5.74,4.02,3.94,0.96,1.15,77.6,2740.31,2723.93,1479.51,512065202,03/05/2020
