"   ","FUND_ID","FUND_NAME","FUND_CLASSIFICATION","CONTROLLING_CORPORATION","MANAGING_CORPORATION","REPORT_PERIOD","INCEPTION_DATE","TARGET_POPULATION","SPECIALIZATION","SUB_SPECIALIZATION","DEPOSITS","WITHDRAWLS","INTERNAL_TRANSFERS","NET_MONTHLY_DEPOSITS","TOTAL_ASSETS","AVG_ANNUAL_MANAGEMENT_FEE","AVG_DEPOSIT_FEE","MONTHLY_YIELD","YEAR_TO_DATE_YIELD","YIELD_TRAILING_3_YRS","YIELD_TRAILING_5_YRS","AVG_ANNUAL_YIELD_TRAILING_3YRS","AVG_ANNUAL_YIELD_TRAILING_5YRS","STANDARD_DEVIATION","ALPHA","SHARPE_RATIO","LIQUID_ASSETS_PERCENT","STOCK_MARKET_EXPOSURE","FOREIGN_EXPOSURE","FOREIGN_CURRENCY_EXPOSURE","MANAGING_CORPORATION_LEGAL_ID","CURRENT_DATE"
"1","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201601","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","12.00","48.58","-8.15","-44.73","11763.23","0.68","0.70","-1.22","-1.22","16.24","25.61","5.14","4.67","4.96","2.04","0.64","77.1","3220.03","4320","1493.17","512205204","10/07/2018 08:31:51"
"2","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201602","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","19.16","50.52","-33.35","-64.71","11651.14","0.68","0.70","-0.34","-1.56","14.9","24.71","4.74","4.52","4.97","2.04","0.6","77.5","3169.53","4288.62","1522.81","512205204","10/07/2018 08:31:51"
"3","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201603","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","23.18","52.09","-20.21","-49.12","11776.41","0.68","0.70","1.56","-0.02","16.07","26.85","5.09","4.87","4.99","2.04","0.71","77.5","3134.34","4270.75","1617.93","512205204","10/07/2018 08:31:51"
"4","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201604","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","11.02","61.95","-18.69","-69.62","11806.01","0.68","0.70","0.91","0.89","16.26","27.5","5.15","4.98","5","2.04","0.76","77.8","3136.77","4266.33","1685.31","512205204","10/07/2018 08:31:51"
"5","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201605","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","21.95","47.44","-23.60","-49.09","11773.51","0.68","0.70","0.2","1.09","14.33","28.61","4.57","5.16","4.98","2.04","0.79","77.8","3192.32","4247.74","1681.78","512205204","10/07/2018 08:31:51"
"6","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201606","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","22.78","50.03","-12.02","-39.27","11704.52","0.68","0.70","-0.19","0.9","15.91","29.82","5.04","5.36","4.93","2.16","0.8","77.8","3102.93","4182.68","1692.76","512205204","10/07/2018 08:31:51"
"7","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201607","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","8.47","52.66","-25.84","-70.03","11843.59","0.68","0.70","1.85","2.77","16.32","32.24","5.17","5.75","4.97","2.16","0.92","77.6","3169.21","4250.44","1778.33","512205204","10/07/2018 08:31:51"
"8","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201608","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","18.55","49.55","-29.08","-60.08","11819.75","0.68","0.70","0.37","3.15","17.51","36.74","5.53","6.46","4.72","2.28","1.04","77.3","3129.49","4210.94","1781.92","512205204","10/07/2018 08:31:51"
"9","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201609","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","16.69","49.31","-29.09","-61.71","11686.91","0.68","0.70","-0.55","2.58","14.6","38.85","4.65","6.78","4.6","2.64","1.05","77.2","3098.79","4116.87","1752.56","512205204","10/07/2018 08:31:51"
"10","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","201610","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","8.62","33.67","-9.27","-34.32","11658.4","0.68","0.70","0.11","2.69","13.09","34.17","4.19","6.05","4.39","2.52","0.99","77.2","3083.66","4147.57","1740.78","512267592","10/07/2018 08:31:51"
"11","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","201611","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","21.91","64.48","-37.78","-80.35","11574.05","0.68","0.70","0","2.69","11.23","37.58","3.61","6.59","4.18","2.52","1.08","77","3007.79","4042.48","1708.48","512267592","10/07/2018 08:31:51"
